"","y_pred_rf","index"
"398",30.7944333333333,315
"421",42.5509,316
"538",58.6929333333333,317
"16",51.1579333333333,318
"275",25.509,319
"441",64.9716333333333,320
"466",56.0183666666666,321
"491",46.8742333333334,322
"17",57.1089666666667,323
"64",51.9531,324
"252",61.8189333333333,325
"422",47.2682333333333,326
"467",41.3313333333334,327
"136",55.6163666666667,328
"276",44.0584333333333,329
"299",67.1716333333333,330
"320",66.5734666666666,331
"350",65.5791666666666,332
"378",65.1971333333333,333
"399",55.4875333333333,334
"423",42.775,335
"539",43.6661333333333,336
"174",52.1389333333334,337
"235",68.1258333333333,338
"321",62.2484,339
"379",60.4411666666667,340
"400",66.7984666666667,341
"468",41.9185333333333,342
"540",60.4953333333333,343
"40",55.9495,344
"92",58.3482,345
"380",59.1883666666667,346
"110",53.4403,347
"137",59.3303,348
"401",59.6232666666667,349
"469",42.7857666666667,350
"492",63.3909666666666,351
"41",56.9124333333333,352
"65",58.118,353
"138",61.9043666666666,354
"442",71.3080666666667,355
"493",59.7254666666667,356
"541",49.1091,357
"111",59.0873333333333,358
"139",51.3640333333334,359
"175",50.9631333333333,360
"198",52.8339,361
"220",58.1044,362
"381",65.5932333333333,363
"443",43.599,364
"518",57.6287,365
"221",56.6466666666666,366
"494",59.5366,367
"519",41.0435,368
"542",45.9780666666667,369
"18",59.8372666666666,370
"176",57.3497666666667,371
"199",57.1638333333334,372
"222",70.2416,373
"236",40.5809333333333,374
"351",55.8820666666667,375
"424",48.4310666666667,376
"520",70.0502333333334,377
"543",68.0289666666667,378
"42",34.661,379
"140",49.7748666666667,380
"177",41.8972,381
"300",73.2382666666667,382
"444",43.9261666666667,383
"470",39.5159,384
"141",53.9146666666667,385
"237",50.2221333333333,386
"322",62.4794,387
"471",51.8632333333333,388
"544",57.1062,389
"19",61.9597333333333,390
"155",58.6915333333333,391
"323",64.2646666666667,392
"382",62.9971333333333,393
"425",46.9964,394
"200",51.9247333333334,395
"253",58.9560666666667,396
"402",57.0157333333333,397
"66",68.2190333333333,398
"112",31.7444666666667,399
"254",48.9437666666666,400
"352",59.0476,401
"67",62.6956,402
"238",66.3875666666667,403
"255",65.362,404
"277",40.9913333333333,405
"353",59.9621666666666,406
"445",38.9527666666667,407
"43",66.7823666666667,408
"113",46.2475666666667,409
"324",55.2171666666667,410
"426",51.0804333333333,411
"178",71.0896666666666,412
"383",63.4990666666667,413
"472",31.7596333333333,414
"545",66.7499,415
"20",70.7385,416
"142",69.0109333333333,417
