"","X","song_name","artist_name","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","id","duration_ms","time_signature","week","ranking","sample"
"50",50,"Flower Shops (feat. Morgan Wallen)","ERNEST",0.527,0.461,7,-5.908,0.0269,0.118,0,0.0831,0.227,128.153,"0De9jFjJ4eRLl7Yww2eBw1",214405,3,"3/31/2022",50,1
"51",51,"Spacetime (feat. NEVVE)","Subtronics",0.709,0.802,4,-1.146,0.137,0.0877,1.43e-05,0.323,0.546,140.072,"0yotOi6EFaBal5Gy7YVcuI",168000,4,"3/31/2022",51,1
"53",53,"She Likes It (feat. Jake Scott)","Russell Dickerson",0.79,0.325,4,-11.689,0.127,0.509,0,0.155,0.539,126.877,"6VVqPBFZIbcmv14zNfOc13",163311,4,"3/31/2022",53,1
"56",56,"Ready or Not (feat. Sierra Ferrell)","Shakey Graves",0.727,0.576,5,-9.722,0.052,0.464,0.0342,0.116,0.672,88.791,"2NAOqvZIf7onZ4kDLU560I",192902,4,"3/31/2022",56,1
"57",57,"Running Around","Goth Babe",0.655,0.815,0,-9.202,0.247,0.378,0.00142,0.0819,0.555,100.052,"35DHCZvQcy8PIM0eJmVS1X",268800,4,"3/31/2022",57,1
"60",60,"Windhorse","Of The Trees",0.347,0.352,6,-10.401,0.1,0.296,0.839,0.139,0.207,75.306,"6tTDDMmEJpyA97VNYQjjeP",234244,3,"3/31/2022",60,1
"61",61,"Walk Me Home","Said The Sky",0.4,0.485,8,-7.145,0.0369,0.0789,0,0.135,0.211,159.909,"3lG6pvrzze5fH20SKQFYon",216125,3,"3/31/2022",61,1
"62",62,"Big Energy","Latto",0.937,0.793,11,-4.431,0.115,0.0453,0,0.341,0.794,106.022,"4pi1G1x8tl9VfdD9bL3maT",172540,4,"3/31/2022",62,1
"63",63,"Nail Tech","Jack Harlow",0.647,0.581,4,-7.678,0.0884,0.0029,7.76e-06,0.119,0.113,150.149,"62Yo3FDddWY8ydu6PW2wyz",206385,4,"3/31/2022",63,1
"64",64,"Loser","Sueco",0.61,0.894,5,-3.956,0.129,0.00317,0,0.0539,0.65,96.622,"01VbCa15MmvNg3KMOfoHa2",133679,4,"3/31/2022",64,1
"65",65,"Scared Money (feat. J. Cole and Moneybagg Yo)","YG",0.898,0.58,8,-7.632,0.26,0.0101,0,0.169,0.661,84.018,"4heBcjj4Lw3X2sQVFNbLbz",204286,4,"3/31/2022",65,1
"66",66,"Island Fever","Just A Gent",0.668,0.638,8,-6.935,0.0663,0.0403,0.152,0.0648,0.722,100.037,"0RKK3tkaNLKgR6HObMTCup",231600,4,"3/31/2022",66,1
"67",67,"Escape (feat. Hayla)","Kx5",0.66,0.799,9,-6.934,0.0719,0.179,0.000364,0.701,0.148,126.08,"10oKSzRcwbZsog2uq2gb4b",240445,4,"3/31/2022",67,1
"68",68,"SOLD OUT","HARDY",0.504,0.893,9,-4.801,0.0488,0.00556,1.83e-05,0.34,0.333,145.005,"3I56OBwJkDAyt9L00c8ois",202912,4,"3/31/2022",68,1
"70",70,"Maze Of Punishment","SVDDEN DEATH",0.593,0.968,9,0.399,0.27,0.0265,0.0532,0.121,0.307,139.858,"2P6ikvgWJBj30waV68bG36",350127,4,"3/31/2022",70,1
"71",71,"Fall In Love","Bailey Zimmerman",0.524,0.643,9,-6.055,0.0297,0.451,0,0.221,0.397,135.962,"5gVCfYmQRPy1QJifP8f5gg",232059,4,"3/31/2022",71,1
"73",73,"Sky Is Crying (Kasbo Remix)","ZHU",0.51,0.799,9,-6.649,0.101,0.0527,0.000199,0.222,0.205,111.9,"3RgjEXlZkztwxqZQBGteQo",214286,4,"3/31/2022",73,1
"74",74,"IDGAF (with blackbear)","BoyWithUke",0.783,0.75,5,-5.762,0.078,0.426,0,0.241,0.88,97.953,"6Jrdb6CFOJEGaHjaa6c4WR",140665,4,"3/31/2022",74,1
"75",75,"If I Was a Cowboy","Miranda Lambert",0.575,0.644,6,-5.68,0.0309,0.271,0,0.131,0.626,80.07,"6F7UOC6fPWOkPqybOWBHSv",195013,4,"3/31/2022",75,1
"76",76,"Trouble With A Heartbreak","Jason Aldean",0.582,0.797,5,-4.926,0.0334,0.23,0,0.132,0.595,135.973,"4lSNyiHil3tuiwtvEpN1qq",196027,4,"3/31/2022",76,1
"77",77,"Dimension","Excision",0.398,0.928,2,-1.203,0.436,0.00261,0.348,0.31,0.227,149.855,"3IWkjBkiR4pHOkaHV52OMl",159163,4,"3/31/2022",77,1
"79",79,"How The Story Goes","Wiz Khalifa",0.817,0.688,11,-3.639,0.0723,0.00877,0.000567,0.138,0.715,88.024,"3GJN343ii9tJpxYJB4KTJN",189290,4,"3/31/2022",79,1
"80",80,"Up There Down Here","Jake Owen",0.517,0.901,4,-3.51,0.039,0.234,0,0.317,0.567,150.033,"1116cRlf1zVJXVI2fUUwFD",200400,4,"3/31/2022",80,1
"82",82,"Big Subwoofer (feat. Snoop Dogg, Ice Cube, E-40 & Too $hort ) - Single Version","MOUNT WESTMORE",0.92,0.549,11,-5.912,0.257,0.0262,3.1e-06,0.196,0.709,90.004,"5GPm7PsMQwceQvfYlGXcCt",241587,4,"3/31/2022",82,1
"83",83,"Heavy (with Nigo)","Nigo",0.668,0.584,8,-7.643,0.166,0.164,0,0.414,0.316,144.448,"39w2YI59aWcTSzdqana42B",199412,4,"3/31/2022",83,1
"85",85,"Dark Night - 717 Tapes","Warren Zeiders",0.78,0.682,10,-5.869,0.0341,0.153,0,0.169,0.609,120.083,"4Y7ze5PDaQSSkvCX3pd5CO",157992,4,"3/31/2022",85,1
"86",86,"Colorado","Laszewo",0.618,0.553,8,-7.507,0.0517,0.128,0.000179,0.0897,0.0575,122.009,"1nIRahjeEII1lsDPEn0nJz",195416,4,"3/31/2022",86,1
"87",87,"'Til You Can't","Cody Johnson",0.501,0.815,1,-4.865,0.0436,0.0513,0,0.106,0.46,160.087,"4k3lPl8YTKuY8c1HelVnm3",224213,4,"3/31/2022",87,1
"88",88,"No Le Aflojo","Los Gemelos De Sinaloa",0.698,0.687,5,-4.115,0.0501,0.195,0,0.0829,0.773,116.765,"7ifMxHITc3NIipJO4R5NGb",202876,4,"3/31/2022",88,1
"90",90,"Tunnel of You","Cannons",0.657,0.683,9,-8.051,0.0302,0.00108,0.147,0.214,0.633,97.993,"1KX30hHDvpBRvm3JXxtYEY",263418,4,"3/31/2022",90,1
"92",92,"3 outfits","Tai Verdes",0.65,0.88,11,-4.292,0.15,0.145,0.00223,0.351,0.648,176.017,"78zWCikDMYzFpXAdqANPrD",210867,4,"3/31/2022",92,1
"94",94,"Serotonin","Nic D",0.81,0.497,1,-7.755,0.0647,0.0333,0,0.111,0.343,139.988,"1FUQZYqWRVL8eaQd7uENlz",151301,4,"3/31/2022",94,1
"95",95,"Slow Down Summer","Thomas Rhett",0.464,0.755,4,-5.707,0.0354,0.00838,0,0.0989,0.449,155.973,"1fff5nZGyRJtFLkOrSSwOU",216764,4,"3/31/2022",95,1
"96",96,"Afraid of Love","Cheat Codes",0.787,0.663,11,-5.484,0.0576,0.0285,0,0.176,0.485,116.975,"36bE2OPOL9wwxAuFEjigbZ",151515,4,"3/31/2022",96,1
"97",97,"23","Sam Hunt",0.641,0.78,3,-5.138,0.0852,0.0206,0,0.143,0.693,98.004,"4PuAqZlL1tkidkuxfDlLbF",179720,4,"3/31/2022",97,1
"98",98,"Wild Child","The Black Keys",0.68,0.639,5,-6.233,0.0278,0.017,5.09e-06,0.0398,0.957,106.991,"0dgAZ1j5irH1FlA5WrpHW4",164867,4,"3/31/2022",98,1
"99",99,"Too Late (with Dirty Heads)","Shwayze",0.711,0.689,9,-6.949,0.0424,0.122,0,0.0754,0.617,90.042,"3jaaCjDmM9wMEr42mMqrPo",157085,4,"3/31/2022",99,1
"100",100,"Free The Shiners","42 Dugg",0.663,0.698,11,-7.448,0.267,0.0233,0,0.403,0.535,154.153,"5NMWPokmUZIX1ySu7YLF74",124800,4,"3/31/2022",100,1
"102",102,"Shotgun Love","Lindsay Capuano",0.621,0.501,11,-9.106,0.041,0.0866,0,0.0744,0.214,75.999,"2eMRPZoofnqAMkWwVBPheT",145263,4,"3/24/2022",2,1
"105",105,"Believe","Caamp",0.516,0.635,3,-8.024,0.0347,0.0324,0.00187,0.0674,0.704,150.067,"0QFGZqqB1KDpOtyL3vXMXo",195107,4,"3/24/2022",5,1
"107",107,"Color Of Your Soul","GRiZ",0.486,0.964,9,-3.615,0.0548,0.00147,0.0628,0.101,0.177,139.958,"71LZ7lwCisTG3H9UXKraTe",202286,4,"3/24/2022",7,1
"108",108,"Highway Boys","Zach Bryan",0.484,0.362,0,-8.989,0.05,0.125,1.39e-05,0.103,0.299,153.911,"77OK2W45f7DEYgUEQs00PY",220035,4,"3/24/2022",8,1
"109",109,"HANDSOMER (Remix) (Feat. Ktlyn)","Russ",0.891,0.62,8,-6.822,0.157,0.176,1.59e-06,0.103,0.535,82.035,"0vp1sk3FzuDBeLMLcRhQdL",143415,4,"3/24/2022",9,1
"110",110,"Lemon Tree","Mt. Joy",0.365,0.748,10,-9.145,0.0881,0.55,0.503,0.303,0.475,121.285,"0SnCZci0wyVj0RZXknNaWq",248560,4,"3/24/2022",10,1
"111",111,"Firepit","Phantoms",0.669,0.884,0,-6.587,0.0367,0.0164,0.00534,0.111,0.188,123.998,"598YYFar90QPnyGE3jmgGo",243331,4,"3/24/2022",11,1
"112",112,"Tiebreaker","The Head And The Heart",0.6,0.713,6,-5.238,0.0381,0.0765,0.000269,0.575,0.543,133.211,"2jQrCn5lMF1tnICJ0sv1qZ",239467,4,"3/24/2022",12,1
"113",113,"up again","mike.",0.844,0.407,1,-9.092,0.0507,0.627,0.0276,0.117,0.311,92.981,"4wrhAoRQfmv35znEXDip7X",168902,4,"3/24/2022",13,1
"114",114,"Into The Void","Minnesota",0.475,0.662,7,-6.799,0.0289,0.716,0.789,0.119,0.208,169.93,"2Mb8T742ckl5v5DkMob2f3",240000,3,"3/24/2022",14,1
"115",115,"Wild as Her","Corey Kent",0.497,0.726,0,-6.018,0.0363,0.00331,0,0.103,0.418,147.91,"7FEu6U2jXAs2URjx93AyTm",201639,4,"3/24/2022",15,1
"116",116,"Stars In The Sky - From Sonic The Hedgehog 2","Kid Cudi",0.734,0.766,1,-6.44,0.0376,0.0497,0.000314,0.0931,0.832,132.064,"0WFOl7P9gowO92fuI0eJIZ",185669,4,"3/24/2022",16,1
"117",117,"Puzzle Box","Rezz",0.696,0.488,1,-7.508,0.0403,0.196,0.836,0.2,0.202,95.064,"5EhnuLMer8qAXEDwmLtyrW",212211,4,"3/24/2022",17,1
"118",118,"Rolex® On A Redneck","Brantley Gilbert",0.651,0.793,7,-4.571,0.0311,0.309,0,0.371,0.381,130.012,"2jaNHcSRgPvtMXu5rboE7T",179867,4,"3/24/2022",18,1
"119",119,"Humble Quest","Maren Morris",0.623,0.727,3,-6.585,0.037,0.0721,0.000318,0.117,0.349,113.902,"2kxytjpDPwjZGqVLH8eWkr",204240,4,"3/24/2022",19,1
"120",120,"Cowboy Killer","Ian Munsick",0.784,0.723,11,-5.619,0.04,0.0163,0,0.16,0.739,115.047,"6a2DSH1UNOj3wRAFTD2Ljd",132507,4,"3/24/2022",20,1
"121",121,"Why","Late Night Radio",0.42,0.656,10,-6.287,0.0382,0.000485,0.17,0.0681,0.403,162.018,"5lT73kFy624ns90M1foaSc",192222,3,"3/24/2022",21,1
"122",122,"Soy El Unico","Yahritza Y Su Esencia",0.708,0.449,4,-4.369,0.0286,0.451,0,0.111,0.63,84.396,"6HJIZUOiZDE814XMhRGSZN",214000,1,"3/24/2022",22,1
"124",124,"drug dealer (feat. Lil Wayne)","Machine Gun Kelly",0.633,0.717,10,-3.875,0.0493,0.00602,0,0.151,0.602,142.951,"4Gm1VAxKdLS9aL7bkbZZyr",172283,4,"3/24/2022",24,1
"125",125,"Fall Into Me (feat. Dylan Matthew)","NGHTMRE",0.441,0.834,7,-3.029,0.0641,0.0721,0,0.114,0.245,139.96,"5jwPoLlVOLcawSpvDpwlty",231429,4,"3/24/2022",25,1
"127",127,"Gassed Up","Zeds Dead",0.643,0.985,4,-1.848,0.41,0.0152,0.000965,0.311,0.182,140.029,"6uwjDA0Qi6hk8C6lPJIMc9",238286,4,"3/24/2022",27,1
"128",128,"Pool","Still Woozy",0.664,0.477,0,-10.53,0.0551,0.394,4.15e-05,0.136,0.273,100.046,"1ZP4Qxb7USL3EezbxfpOVF",223000,4,"3/24/2022",28,1
"130",130,"Leave You Alone","Kane Brown",0.447,0.538,5,-7.258,0.0338,0.119,0,0.188,0.453,123.746,"5J8AKBaUq1WHrzrm9YWlP3",214239,3,"3/24/2022",30,1
"131",131,"Story Of A Stoner","Blunts & Blondes",0.758,0.749,11,-2.817,0.0454,0.0578,0.0711,0.449,0.171,120.012,"1glDjPONCqrWHy6YaGgYFc",156000,4,"3/24/2022",31,1
"132",132,"I Be","Key Glock",0.905,0.724,0,-6.255,0.237,0.00813,0,0.329,0.361,136.982,"3p4YmRsO7aOu8PUbwdN3OB",193480,4,"3/24/2022",32,1
"135",135,"American Dream","Bryce Vine",0.665,0.828,10,-4.69,0.0606,0.131,0,0.0818,0.69,126.943,"5fnYDXLhFOioudAeiQGOPD",160435,4,"3/24/2022",35,1
"136",136,"Synergy (feat. Rob Damiani)","Dance Gavin Dance",0.622,0.987,11,-2.573,0.0545,0.054,0,0.478,0.738,126.023,"06slOFQgdYZFNrTTf84UYR",197117,4,"3/24/2022",36,1
"137",137,"Ain't That A Feel","Tep No",0.611,0.726,1,-6.1,0.0549,0.42,0,0.287,0.399,102.964,"5kEQbkkfbdLgQMiC9nQkgA",221123,4,"3/24/2022",37,1
"138",138,"Dear Alcohol","Dax",0.815,0.504,1,-9.617,0.0471,0.262,0,0.102,0.401,129.984,"1BbUq9wc4N2q53fR9S6NsZ",236308,4,"3/24/2022",38,1
"139",139,"Berserk","Liquid Stranger",0.77,0.655,8,-3.132,0.0542,0.00752,0.0108,0.0937,0.282,80.021,"2XFw9Ym5nzGhxcEUaEL4c9",240000,4,"3/24/2022",39,1
"140",140,"You & I - MashBit Remix","Flux Pavilion",0.523,0.406,1,-7.725,0.0333,0.339,0,0.116,0.228,135.618,"0dBTtQnE9K31CBErwl0uqX",199715,4,"3/24/2022",40,1
