"","X","song_name","artist_name","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","id","duration_ms","time_signature","week","ranking","sample"
"421",421,"Gassed Up","Zeds Dead",0.643,0.985,4,-1.848,0.41,0.0152,0.000965,0.311,0.182,140.029,"6uwjDA0Qi6hk8C6lPJIMc9",238286,4,"3/3/2022",21,1
"422",422,"King Kong","Dirt Monkey",0.679,0.859,0,-3.865,0.0501,0.0181,0.0977,0.086,0.39,145.181,"5izcyR6xwSnqmdJd4gWpjk",168295,4,"3/3/2022",22,1
"423",423,"Holla","Liquid Stranger",0.893,0.55,2,-4.912,0.0628,0.00386,2.29e-05,0.132,0.276,95.009,"5ZXKxQWkDCm8RI0JWnBaam",182267,4,"3/3/2022",23,1
"424",424,"Last Night Lonely","Jon Pardi",0.646,0.816,6,-2.65,0.0269,0.00496,0,0.179,0.865,102.972,"3SeeaIXnrCfT88vHVCRWHl",181991,4,"3/3/2022",24,1
"425",425,"Survive","Lane 8",0.362,0.534,1,-10.403,0.0498,0.435,0.93,0.0939,0.238,184.216,"5QZdeEHEHy1Jphbral0nbv",302439,3,"3/3/2022",25,1
"426",426,"Spacetime (feat. NEVVE)","Subtronics",0.709,0.802,4,-1.146,0.137,0.0877,1.43e-05,0.323,0.546,140.072,"0yotOi6EFaBal5Gy7YVcuI",168000,4,"3/3/2022",26,1
"427",427,"My Weakness","Jason Aldean",0.564,0.858,11,-4.955,0.0263,0.048,0,0.104,0.536,90.04,"1JIvpXxI69z8JkBlZIWjrg",235293,4,"3/3/2022",27,1
"429",429,"Love Me Easy","ANORA",0.677,0.651,1,-7.245,0.0538,0.0706,0.0327,0.198,0.434,85.091,"11Y4VVU6MTBtuSO116rsfG",170017,4,"3/3/2022",29,1
"430",430,"Ready or Not (feat. Sierra Ferrell)","Shakey Graves",0.727,0.576,5,-9.722,0.052,0.464,0.0342,0.116,0.672,88.791,"2NAOqvZIf7onZ4kDLU560I",192902,4,"3/3/2022",30,1
"431",431,"Pacifica (Sultan + Shepard Remix)","Shallou",0.394,0.574,4,-9.275,0.0391,0.0515,0.433,0.106,0.133,121.974,"04wZnll09OSLNgvOEpWNHF",285123,4,"3/3/2022",31,1
"434",434,"Face Down In The Moment","Nathaniel Rateliff & The Night Sweats",0.52,0.591,6,-3.225,0.0301,0.353,0.00412,0.102,0.359,151.089,"5yTpyXVKcB20zOGXU1ffgf",279187,4,"3/3/2022",34,1
"437",437,"Head High","Joey Bada$$",0.618,0.864,2,-3.838,0.371,0.0969,0,0.19,0.597,169.978,"1TUNcLZZImGkNlviSpQp6H",180827,4,"3/3/2022",37,1
"439",439,"Timber","Bugus",0.514,0.534,1,-10.164,0.437,0.627,0,0.133,0.599,205.231,"0Attfitg2TKUF5AEMdL8ID",131605,4,"3/3/2022",39,1
"440",440,"What Everybody Wants","Chelsea Cutler",0.812,0.526,6,-9.961,0.0457,0.286,3.49e-06,0.276,0.439,118.028,"6xkghIDZwnZtTfpjEqccrr",150013,4,"3/3/2022",40,1
"441",441,"I See You (with Marc E. Bassy)","Party Favor",0.616,0.784,11,-5.346,0.0741,0.0509,4.59e-06,0.0662,0.248,160.02,"2Z8PrOwTgFVP6kJNtPTkMq",173297,4,"3/3/2022",41,1
"443",443,"Dripfield","Goose",0.605,0.719,7,-8.015,0.0318,0.0391,0.433,0.0947,0.101,111.013,"1YOHsGXd9bLGibYZ5omtew",424979,4,"3/3/2022",43,1
"444",444,"Bussin Bussin (feat. JV Rhymes)","Riot Ten",0.679,0.925,9,-5.689,0.0593,0.000477,0.776,0.0747,0.347,145.098,"7e9hK7EA6ErF1FfARROJQE",213517,4,"3/3/2022",44,1
"445",445,"Island Fever","Just A Gent",0.668,0.638,8,-6.935,0.0663,0.0403,0.152,0.0648,0.722,100.037,"0RKK3tkaNLKgR6HObMTCup",231600,4,"3/3/2022",45,1
"446",446,"Turbo","DaBaby",0.481,0.652,5,-6.882,0.317,0.00642,0,0.176,0.518,98.123,"0oMCHLbU1IcWfXMHeYSfn1",179587,5,"3/3/2022",46,1
"447",447,"Hanging On","Bob Moses",0.458,0.892,7,-3.86,0.0858,0.0591,3.46e-06,0.0846,0.339,122.061,"4Bk9XgBiO13Ba3mRjXBq0Z",235227,4,"3/3/2022",47,1
"448",448,"The Last Resort","Midland",0.552,0.729,0,-5.577,0.0259,0.0691,1.02e-05,0.158,0.764,108.017,"7f5z4IzFsYYhUyxBXbFXcr",236800,4,"3/3/2022",48,1
"449",449,"Know It All","Billy Strings",0.576,0.762,0,-6.518,0.0317,0.419,0.000205,0.317,0.716,126.848,"687SHqnUp3yGfGiuwgE2WG",205440,4,"3/3/2022",49,1
"450",450,"Nail Tech","Jack Harlow",0.647,0.581,4,-7.678,0.0884,0.0029,7.76e-06,0.119,0.113,150.149,"62Yo3FDddWY8ydu6PW2wyz",206385,4,"3/3/2022",50,1
"451",451,"Without You","Kill The Noise",0.564,0.887,9,-4.56,0.046,0.00443,0.00207,0.368,0.0658,127.952,"1gs7LWmkKWpJ8M6cnWkK5e",225000,4,"3/3/2022",51,1
"452",452,"Drive Away","Krewella",0.502,0.874,5,-3.742,0.203,0.0543,1.27e-06,0.426,0.392,141.776,"408UEGA6FV2nvQjr1nt1VT",240000,4,"3/3/2022",52,1
"453",453,"Walk Me Home","Said The Sky",0.4,0.485,8,-7.145,0.0369,0.0789,0,0.135,0.211,159.909,"3lG6pvrzze5fH20SKQFYon",216125,3,"3/3/2022",53,1
"454",454,"Always","The Hip Abduction",0.682,0.547,5,-7.787,0.0483,0.362,0.888,0.138,0.553,91.966,"4DAQPsV9TCPFRzL6Ygmko9",246500,4,"3/3/2022",54,1
"455",455,"Take A Walk","Judah & the Lion",0.541,0.696,11,-7.809,0.0382,0.0257,6.5e-05,0.133,0.354,143.031,"0dVVLxuAvUnkwNGgW9aoZs",226896,4,"3/3/2022",55,1
"456",456,"Broadway Girls (feat. Morgan Wallen)","Lil Durk",0.659,0.745,10,-3.599,0.0347,0.0417,0,0.296,0.54,74.967,"3DZ8dbKg4OTSSqGARvecYd",185600,4,"3/3/2022",56,1
"457",457,"Fall In Love","Bailey Zimmerman",0.524,0.643,9,-6.055,0.0297,0.451,0,0.221,0.397,135.962,"5gVCfYmQRPy1QJifP8f5gg",232059,4,"3/3/2022",57,1
"458",458,"Circles Around This Town","Maren Morris",0.591,0.814,4,-4.986,0.0468,0.015,0,0.117,0.815,149.9,"13G5xv1wUKvJYbK0wYmioN",195760,4,"3/3/2022",58,1
"459",459,"Down To The Bar (feat. HARDY)","Cole Swindell",0.416,0.935,8,-3.277,0.0778,0.0611,0,0.0854,0.578,139.882,"6wD2WOZhGm3F0jUQxW5hyO",195720,4,"3/3/2022",59,1
"460",460,"A2C2I2D","G Jones",0.729,0.882,11,-5.458,0.121,0.000547,0.593,0.06,0.236,123.957,"2bNNC6g2MlxRci90oQRXnD",201290,4,"3/3/2022",60,1
"461",461,"Big Energy","Latto",0.935,0.807,11,-3.838,0.114,0.0514,0,0.349,0.813,106.017,"6Zu3aw7FfjAF9WA0fA81Oq",173182,4,"3/3/2022",61,1
"462",462,"Opiate²","TOOL",0.319,0.684,9,-9.059,0.0527,0.00137,0.295,0.107,0.166,106.619,"6iQDmWrbrMQ0vPfbKqqvKU",594049,3,"3/3/2022",62,1
"463",463,"Growing Old With You","Restless Road",0.478,0.516,5,-7.276,0.0267,0.403,0,0.0823,0.376,80.09,"5n4kMW5dn7MHFhXQuJb9zG",196008,4,"3/3/2022",63,1
"464",464,"WHERE WE ARE","The Lumineers",0.573,0.507,11,-8.084,0.0342,0.759,1.37e-06,0.377,0.363,123.183,"4MTmAFWHpvB9kPMSRgLFRp",172800,4,"3/3/2022",64,1
"466",466,"Flower Shops (feat. Morgan Wallen)","ERNEST",0.527,0.461,7,-5.908,0.0269,0.118,0,0.0831,0.227,128.153,"2ccuOtUjIyx3tPcsnpeBzJ",214405,3,"3/3/2022",66,1
"468",468,"Elliot's Song - From ""Euphoria"" An HBO Original Series","Dominic Fike",0.394,0.327,4,-14.291,0.114,0.849,0,0.125,0.411,93.358,"7JIIY2oDPFkURYMCLJuzhe",150320,4,"3/3/2022",68,1
"469",469,"Mariella","Khruangbin",0.593,0.576,2,-10.331,0.032,0.526,0.718,0.0827,0.559,109.935,"3dvXRk7TZ929m21p49RR5P",310554,4,"3/3/2022",69,1
"470",470,"Give Up Baby Go","Peach Pit",0.683,0.697,9,-6.703,0.025,0.169,2.46e-06,0.0527,0.591,96.729,"6DIMM15oo3kxnCuVypaYGy",257007,4,"3/3/2022",70,1
"471",471,"Colorado Boulder","charlieonnafriday",0.745,0.608,9,-5.888,0.0437,0.0636,0,0.195,0.523,140.056,"415cidxCKnjZg9l7dAnVJp",163663,4,"3/3/2022",71,1
"472",472,"Rocking A Cardigan in Atlanta","lil Shordie Scott",0.803,0.64,1,-4.721,0.151,0.583,0.000331,0.437,0.816,140.073,"0N0h5lXc4HOiLgGb9EZi8m",96826,4,"3/3/2022",72,1
"473",473,"Straight To It (feat. Fivio Foreign)","King Von",0.829,0.727,1,-6.169,0.253,0.0608,4.47e-06,0.0975,0.877,139.95,"4RaV9tFFV7R04lglRhgg5O",178413,4,"3/3/2022",73,1
"475",475,"Horseshoes and Hand Grenades","Mitchell Tenpenny",0.57,0.802,4,-5.054,0.0338,0.101,0,0.0845,0.23,140.146,"3o0hiPJ7SzxusicnXlzkBt",211286,4,"3/3/2022",75,1
"477",477,"Million Dollars Worth of Game (feat. 42 Dugg)","2 Chainz",0.81,0.68,2,-4.871,0.346,0.0059,0,0.112,0.419,97.02,"6C0vyXq2uzFRTTLcE4whhl",158627,4,"3/3/2022",77,1
"478",478,"Perro Abandonado","Ivan Cornejo",0.561,0.635,11,-8.668,0.0345,0.492,1.27e-06,0.0945,0.4,147.094,"2Xibft7dpTSCS9EQk5mQs0",211199,3,"3/3/2022",78,1
"479",479,"Sleep On It","The Dip",0.4,0.522,6,-7.366,0.0328,0.542,0,0.661,0.849,120.022,"3BZqRfYykl706UFrdR7byF",182813,4,"3/3/2022",79,1
"480",480,"John Wayne","Whiskey Myers",0.638,0.683,6,-5.889,0.0275,0.000877,0.000645,0.178,0.615,109.051,"0gjUYiqimLvi6QxJ0Od2Dg",295776,4,"3/3/2022",80,1
"483",483,"High - Don Diablo Remix","The Chainsmokers",0.75,0.9,0,-4.448,0.0567,0.281,1.66e-05,0.0707,0.134,125.997,"6c2NgGHj1PxDhpkbx4d5nO",241905,4,"3/3/2022",83,1
"485",485,"Serotonin","Nic D",0.81,0.497,1,-7.755,0.0647,0.0333,0,0.111,0.343,139.988,"1FUQZYqWRVL8eaQd7uENlz",151301,4,"3/3/2022",85,1
"486",486,"Numb Little Bug","Em Beihold",0.742,0.527,8,-6.892,0.0769,0.327,0,0.25,0.638,84.974,"3o9kpgkIcffx0iSwxhuNI2",169238,4,"3/3/2022",86,1
"487",487,"High Heels","Paul Cauthen",0.685,0.66,4,-6.913,0.0584,0.49,1.86e-05,0.223,0.702,75.004,"1K2YZyRxCsUSIoqAriiYQj",202223,4,"3/3/2022",87,1
"489",489,"Forgive Me","Sofi Tukker",0.619,0.687,5,-7.937,0.12,0.168,0.000359,0.0714,0.457,100.102,"4XjTvY0x7RR7cy8inojCkO",225437,4,"3/3/2022",89,1
"492",492,"If I Was a Cowboy","Miranda Lambert",0.575,0.644,6,-5.68,0.0309,0.271,0,0.131,0.626,80.07,"6F7UOC6fPWOkPqybOWBHSv",195013,4,"3/3/2022",92,1
"493",493,"Wild as Her","Corey Kent",0.497,0.726,0,-6.018,0.0363,0.00331,0,0.103,0.418,147.91,"7FEu6U2jXAs2URjx93AyTm",201639,4,"3/3/2022",93,1
"494",494,"Look At The Mess I'm In","Danielle Bradbery",0.333,0.478,2,-6.903,0.031,0.367,2.28e-06,0.115,0.291,179.448,"4wWkQCynfdPWrjIIZZVBOD",180833,3,"3/3/2022",94,1
"495",495,"Hit Different","A Boogie Wit da Hoodie",0.58,0.687,11,-7.829,0.269,0.343,0,0.0941,0.657,136.615,"5cv0dKJs3s5TpLni2E7pqp",183941,4,"3/3/2022",95,1
"496",496,"Fear Of Dying","Alison Wonderland",0.503,0.494,9,-7.546,0.0412,0.326,0.000481,0.0954,0.113,70.035,"3lVaRWkDwUkHveuSbilYdE",187800,4,"3/3/2022",96,1
"497",497,"Party Mode","Dustin Lynch",0.619,0.916,10,-2.752,0.0468,0.0483,4.88e-06,0.246,0.785,114.019,"7ivOkXLuP1182ZtzA54Vbw",211987,4,"3/3/2022",97,1
"500",500,"On Your Own (feat. Elderbrook)","Hayden James",0.658,0.937,4,-5.773,0.0389,0.0102,0.329,0.169,0.342,124.988,"6LJsVZlhPAvrALPYka3xXz",223992,4,"3/3/2022",100,1
"502",502,"Better Now (feat. MARO)","ODESZA",0.444,0.796,6,-5.826,0.111,0.326,2.08e-06,0.161,0.354,88.72,"1iSuktdIdWrdfq0slQ4auO",194111,4,"2/24/2022",2,1
"504",504,"From Austin","Zach Bryan",0.5,0.485,0,-7.94,0.0422,0.633,1.26e-06,0.107,0.379,109.755,"3X0V4uEujns3TlpoDa2TvP",207453,4,"2/24/2022",4,1
"505",505,"Driving South","Goth Babe",0.565,0.771,0,-8.222,0.0533,0.00914,0.00024,0.351,0.86,105.993,"1Mp50vmIphq9ui2UUJoX3m",235001,4,"2/24/2022",5,1
"506",506,"Cowboy Killer","Ian Munsick",0.784,0.723,11,-5.619,0.04,0.0163,0,0.16,0.739,115.047,"6a2DSH1UNOj3wRAFTD2Ljd",132507,4,"2/24/2022",6,1
"507",507,"Blow The Roof (with Kasbo & EVAN GIIA)","Louis The Child",0.593,0.824,4,-4.503,0.0633,0.0882,0,0.149,0.371,105.008,"6sooxXwLEwh812Ve4L5ovr",184919,4,"2/24/2022",7,1
"508",508,"Sapped","EAZYBAKED",0.784,0.299,9,-7.061,0.0676,0.0119,0.731,0.119,0.0767,135.1,"18m9bFc2XHlUAGIg7DffF1",231111,4,"2/24/2022",8,1
"510",510,"Without You","Kill The Noise",0.564,0.887,9,-4.56,0.046,0.00443,0.00207,0.368,0.0658,127.952,"1gs7LWmkKWpJ8M6cnWkK5e",225000,4,"2/24/2022",10,1
"512",512,"WATERBOYZ (with JID & J. Cole)","EARTHGANG",0.842,0.657,6,-4.349,0.224,0.00428,0,0.112,0.707,140.057,"1KyXCd04yHni5pMGFwgzuE",303400,4,"2/24/2022",12,1
"513",513,"Gassed Up","Zeds Dead",0.643,0.985,4,-1.848,0.41,0.0152,0.000965,0.311,0.182,140.029,"6uwjDA0Qi6hk8C6lPJIMc9",238286,4,"2/24/2022",13,1
"516",516,"Azure - Emancipator Remix","Emancipator",0.646,0.455,6,-9.563,0.0309,0.0589,0.747,0.366,0.423,139.944,"2vpKeYpjTmzR4RfrLUYm5n",318857,4,"2/24/2022",16,1
"518",518,"Windhorse","Of The Trees",0.347,0.352,6,-10.401,0.1,0.296,0.839,0.139,0.207,75.306,"6tTDDMmEJpyA97VNYQjjeP",234244,3,"2/24/2022",18,1
"519",519,"Survive","Lane 8",0.362,0.534,1,-10.403,0.0498,0.435,0.93,0.0939,0.238,184.216,"5QZdeEHEHy1Jphbral0nbv",302439,3,"2/24/2022",19,1
"520",520,"Virginia (Wind In The Night)","The Head And The Heart",0.265,0.79,7,-3.702,0.0366,0.00699,0,0.0523,0.248,136.075,"03gx5xXMcfEK7ZnOHsjvJL",205293,4,"2/24/2022",20,1
"521",521,"Spacetime (feat. NEVVE)","Subtronics",0.709,0.802,4,-1.146,0.137,0.0877,1.43e-05,0.323,0.546,140.072,"0yotOi6EFaBal5Gy7YVcuI",168000,4,"2/24/2022",21,1
"522",522,"Dripfield","Goose",0.605,0.719,7,-8.015,0.0318,0.0391,0.433,0.0947,0.101,111.013,"1YOHsGXd9bLGibYZ5omtew",424979,4,"2/24/2022",22,1
"524",524,"Walk Me Home","Said The Sky",0.4,0.485,8,-7.145,0.0369,0.0789,0,0.135,0.211,159.909,"3lG6pvrzze5fH20SKQFYon",216125,3,"2/24/2022",24,1
"525",525,"Street - PEEKABOO Remix","NGHTMRE",0.58,0.943,2,-3.899,0.0462,0.00863,0.0607,0.0565,0.033,145.029,"202xexTyHxpvi6aqaaGEYq",251586,4,"2/24/2022",25,1
"526",526,"Scared Money (feat. J. Cole and Moneybagg Yo)","YG",0.898,0.58,8,-7.632,0.26,0.0101,0,0.169,0.661,84.018,"4heBcjj4Lw3X2sQVFNbLbz",204286,4,"2/24/2022",26,1
"527",527,"Nail Tech","Jack Harlow",0.647,0.581,4,-7.678,0.0884,0.0029,7.76e-06,0.119,0.113,150.149,"62Yo3FDddWY8ydu6PW2wyz",206385,4,"2/24/2022",27,1
"528",528,"Dooley's Farm (feat. Billy Strings)","Molly Tuttle & Golden Highway",0.62,0.459,0,-7.743,0.0295,0.666,0,0.115,0.457,131.761,"6zy5mComj7NwXGSBQ9VVEd",221302,4,"2/24/2022",28,1
"532",532,"Colorado","Laszewo",0.618,0.553,8,-7.507,0.0517,0.128,0.000179,0.0897,0.0575,122.009,"1nIRahjeEII1lsDPEn0nJz",195416,4,"2/24/2022",32,1
"533",533,"Freaky Deaky","Tyga",0.799,0.653,2,-5.453,0.037,0.019,0,0.0935,0.236,104.019,"3vySEUpD0tc801F2WZDLYw",215281,4,"2/24/2022",33,1
"534",534,"HOME","Mike Dimes",0.895,0.468,0,-5.777,0.378,0.342,0,0.213,0.428,118.019,"2WnPietHTd9hrIPbZnpoHL",174915,4,"2/24/2022",34,1
"535",535,"Take A Walk","Judah & the Lion",0.541,0.696,11,-7.809,0.0382,0.0257,6.5e-05,0.133,0.354,143.031,"0dVVLxuAvUnkwNGgW9aoZs",226896,4,"2/24/2022",35,1
"536",536,"Cowboys Don’t Cry","Oliver Tree",0.608,0.638,8,-7.215,0.0561,0.217,0,0.324,0.457,87.956,"04WxFTgT3bEvX1WOYzT5Ky",189969,4,"2/24/2022",36,1
"537",537,"Mariella","Khruangbin",0.593,0.576,2,-10.331,0.032,0.526,0.718,0.0827,0.559,109.935,"3dvXRk7TZ929m21p49RR5P",310554,4,"2/24/2022",37,1
"538",538,"Fall In Love","Bailey Zimmerman",0.524,0.643,9,-6.055,0.0297,0.451,0,0.221,0.397,135.962,"5gVCfYmQRPy1QJifP8f5gg",232059,4,"2/24/2022",38,1
"539",539,"Big Energy","Latto",0.935,0.807,11,-3.838,0.114,0.0514,0,0.349,0.813,106.017,"6Zu3aw7FfjAF9WA0fA81Oq",173182,4,"2/24/2022",39,1
"540",540,"Usain Boo","Kodak Black",0.782,0.669,1,-4.58,0.213,0.0733,0,0.111,0.598,143.992,"4N20NYwhJRArlzEhdCKXka",186678,4,"2/24/2022",40,1
"541",541,"Colorado Boulder","charlieonnafriday",0.745,0.608,9,-5.888,0.0437,0.0636,0,0.195,0.523,140.056,"415cidxCKnjZg9l7dAnVJp",163663,4,"2/24/2022",41,1
"542",542,"Million Dollars Worth of Game (feat. 42 Dugg)","2 Chainz",0.81,0.68,2,-4.871,0.346,0.0059,0,0.112,0.419,97.02,"6C0vyXq2uzFRTTLcE4whhl",158627,4,"2/24/2022",42,1
"543",543,"GIGACHAD","Kai Wachi",0.637,0.952,11,-1.34,0.222,0.00471,0.0534,0.333,0.331,139.876,"2VXSei3puBk9C8EW5v1MmF",212259,4,"2/24/2022",43,1
"544",544,"Face Down In The Moment","Nathaniel Rateliff & The Night Sweats",0.52,0.591,6,-3.225,0.0301,0.353,0.00412,0.102,0.359,151.089,"5yTpyXVKcB20zOGXU1ffgf",279187,4,"2/24/2022",44,1
"546",546,"Last Night Lonely","Jon Pardi",0.646,0.816,6,-2.65,0.0269,0.00496,0,0.179,0.865,102.972,"3SeeaIXnrCfT88vHVCRWHl",181991,4,"2/24/2022",46,1
"548",548,"Trouble With A Heartbreak","Jason Aldean",0.582,0.797,5,-4.926,0.0334,0.23,0,0.132,0.595,135.973,"4lSNyiHil3tuiwtvEpN1qq",196027,4,"2/24/2022",48,1
"549",549,"Rocking A Cardigan in Atlanta","lil Shordie Scott",0.803,0.64,1,-4.721,0.151,0.583,0.000331,0.437,0.816,140.073,"0N0h5lXc4HOiLgGb9EZi8m",96826,4,"2/24/2022",49,1
"550",550,"Don't Play That","King Von",0.947,0.605,10,-8.621,0.346,0.0748,7.54e-06,0.0901,0.656,129.988,"6BczFLHW9aIf9aWn5NFuNL",133613,4,"2/24/2022",50,1
"551",551,"Doja","$NOT",0.753,0.777,11,-5.701,0.32,0.0725,0.000714,0.125,0.669,157.148,"3YFnfm9z8RmPFIZ7C16u4e",171453,4,"2/24/2022",51,1
"553",553,"Island Fever","Just A Gent",0.668,0.638,8,-6.935,0.0663,0.0403,0.152,0.0648,0.722,100.037,"0RKK3tkaNLKgR6HObMTCup",231600,4,"2/24/2022",53,1
"554",554,"Numb Little Bug","Em Beihold",0.742,0.527,8,-6.892,0.0769,0.327,0,0.25,0.638,84.974,"3o9kpgkIcffx0iSwxhuNI2",169238,4,"2/24/2022",54,1
"555",555,"Know It All","Billy Strings",0.576,0.762,0,-6.518,0.0317,0.419,0.000205,0.317,0.716,126.848,"687SHqnUp3yGfGiuwgE2WG",205440,4,"2/24/2022",55,1
"556",556,"She Likes It (feat. Jake Scott)","Russell Dickerson",0.79,0.325,4,-11.689,0.127,0.509,0,0.155,0.539,126.877,"6VVqPBFZIbcmv14zNfOc13",163311,4,"2/24/2022",56,1
"557",557,"Rumors (feat. Lil Durk)","Gucci Mane",0.688,0.842,2,-4.211,0.264,0.0499,0,0.241,0.416,159.897,"0P2P1AxcRYhiZvoF5MyRmM",185856,4,"2/24/2022",57,1
"558",558,"Doin' This","Luke Combs",0.593,0.552,1,-5.838,0.028,0.18,1.71e-05,0.11,0.39,115,"4GyD3o5hWoyCuYpdlzZlRL",254181,4,"2/24/2022",58,1
"559",559,"Dancing Feet (feat. DNCE)","Kygo",0.75,0.797,0,-4.826,0.118,0.293,0,0.392,0.523,105.949,"4RAR8g8fZNB106ezUurnE0",215203,4,"2/24/2022",59,1
"561",561,"WHERE WE ARE","The Lumineers",0.573,0.507,11,-8.084,0.0342,0.759,1.37e-06,0.377,0.363,123.183,"4MTmAFWHpvB9kPMSRgLFRp",172800,4,"2/24/2022",61,1
"562",562,"Circles Around This Town","Maren Morris",0.591,0.814,4,-4.986,0.0468,0.015,0,0.117,0.815,149.9,"13G5xv1wUKvJYbK0wYmioN",195760,4,"2/24/2022",62,1
"563",563,"Beside Myself","Yonder Mountain String Band",0.635,0.514,2,-9.743,0.0273,0.22,1.6e-05,0.0673,0.708,145.099,"0tyhL8tIivPgkpBeUdY9jP",248760,4,"2/24/2022",63,1
"564",564,"Us Someday","Thomas Rhett",0.52,0.643,10,-6.37,0.0237,0.0296,2.28e-06,0.0982,0.745,155.988,"5QcjrDZhf8zvP6XV6EGOkE",143733,4,"2/24/2022",64,1
"568",568,"556 (Green Tip)","iayze",0.872,0.278,2,-11.478,0.409,0.159,0,0.0552,0.49,74.996,"34avwQb8IKQDlzbSwfktmv",117191,4,"2/24/2022",68,1
"569",569,"Astra","Zingara",0.419,0.803,4,-5.287,0.117,0.058,0.00221,0.111,0.118,147.206,"6cDcN08jQphgeZ1nwv5aFj",438328,4,"2/24/2022",69,1
"572",572,"Good Beer","Seaforth",0.702,0.778,6,-4.25,0.0287,0.302,0,0.126,0.879,91.014,"55M9eKCXJFCpid6WBVyEct",174111,4,"2/24/2022",72,1
"573",573,"I'm Not Alone","The Infamous Stringdusters",0.315,0.554,1,-9.072,0.0294,0.466,0.138,0.135,0.323,108.95,"0DQ9q4oTx0W01x0Nqd8f9I",307333,4,"2/24/2022",73,1
"574",574,"emo girl (feat. WILLOW)","Machine Gun Kelly",0.41,0.881,2,-3.502,0.087,0.000406,4.26e-05,0.922,0.357,165.006,"2AAyBZmMVZSZfgzXRYJOWQ",159096,4,"2/24/2022",74,1
"575",575,"Chapstick","COIN",0.806,0.636,2,-6.281,0.042,0.00515,0.00053,0.109,0.783,115.03,"2c0NslS6dfGp1LT1iXbqyS",193299,4,"2/24/2022",75,1
"576",576,"Want It Bad (with Nigo)","Kid Cudi",0.691,0.466,4,-8.871,0.039,0.302,0.000227,0.115,0.347,110.014,"6PzDwzYlw2gH6pYFQqNnFA",200486,4,"2/24/2022",76,1
"577",577,"If I Was a Cowboy","Miranda Lambert",0.575,0.644,6,-5.68,0.0309,0.271,0,0.131,0.626,80.07,"6F7UOC6fPWOkPqybOWBHSv",195013,4,"2/24/2022",77,1
"579",579,"'Til You Can't","Cody Johnson",0.501,0.815,1,-4.865,0.0436,0.0513,0,0.106,0.46,160.087,"4k3lPl8YTKuY8c1HelVnm3",224213,4,"2/24/2022",79,1
"580",580,"Big Subwoofer (feat. Snoop Dogg, Ice Cube, E-40 & Too $hort ) - Single Version","MOUNT WESTMORE",0.92,0.549,11,-5.912,0.257,0.0262,3.1e-06,0.196,0.709,90.004,"5GPm7PsMQwceQvfYlGXcCt",241587,4,"2/24/2022",80,1
"581",581,"PORN ACTING*","Jean Dawson",0.404,0.736,7,-5.211,0.0786,0.0249,1.98e-06,0.197,0.621,183.885,"5BkazOzXKqpVE4RI7Dbxnw",172347,4,"2/24/2022",81,1
"582",582,"Ugliest","$uicideboy$",0.752,0.55,5,-7.166,0.362,0.172,0.0148,0.14,0.405,174.073,"2Q9nA56DKKJhj4cHMbHlAS",178131,4,"2/24/2022",82,1
"583",583,"King","Florence + The Machine",0.73,0.445,6,-8.376,0.0446,0.142,0.00109,0.107,0.075,105.976,"1VSngtLdJhrlfHkLxTyOXK",280131,4,"2/24/2022",83,1
"584",584,"Neighborhood Superstar","DaBaby",0.821,0.714,2,-5.977,0.374,0.109,0,0.298,0.665,81.393,"0lTqQTHcYb0RzGa5STjVrf",235583,4,"2/24/2022",84,1
"585",585,"Pickup","MacKenzie Porter",0.614,0.837,1,-3.967,0.0255,0.45,2.49e-05,0.115,0.862,96.977,"2kEhQe0BVtY8IIaFE5ALA0",168448,5,"2/24/2022",85,1
"586",586,"Statues","DROELOE",0.596,0.498,0,-8.499,0.0991,0.172,7.25e-05,0.294,0.509,137.916,"2vWYHrRiJhc2iIXxaZUnG5",205990,4,"2/24/2022",86,1
"587",587,"23","Sam Hunt",0.641,0.78,3,-5.138,0.0852,0.0206,0,0.143,0.693,98.004,"4PuAqZlL1tkidkuxfDlLbF",179720,4,"2/24/2022",87,1
"588",588,"Surface Pressure - From ""Encanto""/Soundtrack Version","Jessica Darrow",0.65,0.584,2,-8.286,0.307,0.0174,1.54e-06,0.042,0.37,180.088,"6K5ph5mq1qprHae3TrgTj5",202227,4,"2/24/2022",88,1
"589",589,"MAGIC (feat. Mustard)","Vince Staples",0.743,0.578,9,-6.653,0.184,0.273,7.77e-05,0.13,0.292,90.021,"5FvXe5bz4nQQ4eBaitt4EC",226006,4,"2/24/2022",89,1
"590",590,"I'm Tired - From ""Euphoria"" An HBO Original Series","Labrinth",0.375,0.133,0,-10.624,0.0352,0.651,0,0.0695,0.192,131.721,"6LtHYDgYHRCHoKK3snfr2w",187944,4,"2/24/2022",90,1
"591",591,"One Mississippi","Kane Brown",0.471,0.846,0,-5.269,0.0389,0.00279,2.86e-06,0.145,0.539,100.089,"4FdPnT2cFrpWCmWZd7GXc3",213719,4,"2/24/2022",91,1
"592",592,"Hot Tub","Yung Gravy",0.75,0.769,9,-4.705,0.203,0.0743,0,0.375,0.554,123.939,"0QwtPubre27rt1YnJBKeNb",159226,4,"2/24/2022",92,1
"593",593,"Eazy","The Game",0.716,0.551,1,-6.987,0.47,0.167,0,0.197,0.305,82.393,"6Ab81Bs9fcOwaTYuBsUUpI",234288,4,"2/24/2022",93,1
