"","song_name","artist_name","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","id","duration_ms","time_signature","week"
"33","Lost and Found Freestyle 2019 (with Tyler, The Creator & Nigo)","A$AP Rocky",0.458,0.697,1,-5.02,0.325,0.0185,0,0.784,0.495,172.584,"5x8NgG7Ya18m9wafOvvWYk",174863,4,2022-03-31
"34","Last Night Lonely","Jon Pardi",0.646,0.816,6,-2.65,0.0269,0.00496,0,0.179,0.865,102.972,"3SeeaIXnrCfT88vHVCRWHl",181991,4,2022-03-31
"35","American Dream","Bryce Vine",0.665,0.828,10,-4.69,0.0606,0.131,0,0.0818,0.69,126.943,"5fnYDXLhFOioudAeiQGOPD",160435,4,2022-03-31
"36","Synergy (feat. Rob Damiani)","Dance Gavin Dance",0.622,0.987,11,-2.573,0.0545,0.054,0,0.478,0.738,126.023,"06slOFQgdYZFNrTTf84UYR",197117,4,2022-03-31
"37","Ain't That A Feel","Tep No",0.611,0.726,1,-6.1,0.0549,0.42,0,0.287,0.399,102.964,"5kEQbkkfbdLgQMiC9nQkgA",221123,4,2022-03-31
"38","Dear Alcohol","Dax",0.815,0.504,1,-9.617,0.0471,0.262,0,0.102,0.401,129.984,"1BbUq9wc4N2q53fR9S6NsZ",236308,4,2022-03-31
"39","Berserk","Liquid Stranger",0.77,0.655,8,-3.132,0.0542,0.00752,0.0108,0.0937,0.282,80.021,"2XFw9Ym5nzGhxcEUaEL4c9",240000,4,2022-03-31
"40","You & I - MashBit Remix","Flux Pavilion",0.523,0.406,1,-7.725,0.0333,0.339,0,0.116,0.228,135.618,"0dBTtQnE9K31CBErwl0uqX",199715,4,2022-03-31
"41","Surround Sound (feat. 21 Savage & Baby Tate)","JID",0.57,0.573,5,-6.935,0.476,0.156,0,0.256,0.517,76.006,"0cp97b37sFNsdIbQH6po3T",229938,4,2022-03-31
"42","Know It All","Billy Strings",0.576,0.762,0,-6.518,0.0317,0.419,0.000205,0.317,0.716,126.848,"687SHqnUp3yGfGiuwgE2WG",205440,4,2022-03-31
"43","Sapped","EAZYBAKED",0.784,0.299,9,-7.061,0.0676,0.0119,0.731,0.119,0.0767,135.1,"4JjNV8vOKMIYY8eKs6I2Ii",231111,4,2022-03-31
"44","Antioch","Whiskey Myers",0.409,0.69,0,-6.066,0.0446,0.000793,1.22e-05,0.344,0.627,202.246,"51WNjmzTaO4kBTM7xBQP9h",245643,4,2022-03-31
"45","Sinner","Ekoh",0.708,0.81,1,-6.929,0.13,0.283,1.46e-05,0.196,0.681,142.017,"2sgexWeNhjksUA2CEQu6L9",220563,4,2022-03-31
"46","Come On, Let's Go (with Nigo)","Tyler, The Creator",0.732,0.734,11,-7.968,0.0974,0.136,0.000901,0.165,0.488,145.722,"6f44p3Kc4ayD9VtbC9Clkr",199500,4,2022-03-31
"47","Red Lights - EMBRZ Remix","Lane 8",0.793,0.605,4,-8.901,0.042,0.554,0.755,0.103,0.314,124.012,"5LRkGpPO2dYjqByYu7AsmD",206000,4,2022-03-31
"48","Face Down In The Moment","Nathaniel Rateliff & The Night Sweats",0.52,0.591,6,-3.225,0.0301,0.353,0.00412,0.102,0.359,151.089,"5yTpyXVKcB20zOGXU1ffgf",279187,4,2022-03-31
"49","Killing Me","COIN",0.673,0.726,1,-6.623,0.0362,0.00847,0.0039,0.164,0.315,122.001,"4rXfbIpiDnGxZYIflm8LSQ",165774,4,2022-03-31
"50","Flower Shops (feat. Morgan Wallen)","ERNEST",0.527,0.461,7,-5.908,0.0269,0.118,0,0.0831,0.227,128.153,"0De9jFjJ4eRLl7Yww2eBw1",214405,3,2022-03-31
"51","Spacetime (feat. NEVVE)","Subtronics",0.709,0.802,4,-1.146,0.137,0.0877,1.43e-05,0.323,0.546,140.072,"0yotOi6EFaBal5Gy7YVcuI",168000,4,2022-03-31
"52","Drop Top","TVBOO",0.845,0.816,7,-1.919,0.264,0.00956,0.209,0.25,0.723,143.959,"0EvhH70UAoakZInIqmZLVV",162500,4,2022-03-31
"53","She Likes It (feat. Jake Scott)","Russell Dickerson",0.79,0.325,4,-11.689,0.127,0.509,0,0.155,0.539,126.877,"6VVqPBFZIbcmv14zNfOc13",163311,4,2022-03-31
"54","Can't Have Mine (Find You A Girl)","Dylan Scott",0.663,0.502,5,-7.07,0.0285,0.791,0,0.105,0.371,143.969,"4q9NEq8kUmSZwtNsxL2KJN",183087,4,2022-03-31
"55","Broadway Girls (feat. Morgan Wallen)","Lil Durk",0.659,0.745,10,-3.599,0.0347,0.0417,0,0.296,0.54,74.967,"2pOUHNwZJrFffS42SxPwt0",185600,4,2022-03-31
"56","Ready or Not (feat. Sierra Ferrell)","Shakey Graves",0.727,0.576,5,-9.722,0.052,0.464,0.0342,0.116,0.672,88.791,"2NAOqvZIf7onZ4kDLU560I",192902,4,2022-03-31
"57","Running Around","Goth Babe",0.655,0.815,0,-9.202,0.247,0.378,0.00142,0.0819,0.555,100.052,"35DHCZvQcy8PIM0eJmVS1X",268800,4,2022-03-31
"58","Ghost Story","Carrie Underwood",0.479,0.742,7,-5.587,0.0539,0.0069,0.000834,0.278,0.454,142.909,"2FGOg7uYBfnspkPOISXTFY",181400,3,2022-03-31
